SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
0,-1.2802480369298874,-1.1616939352451685,-0.9941940877241977,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0
0,0.06430268518835193,-0.2608779199297493,-0.17373981825040724,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,0
0,-1.2395040756535771,-0.3639232943754246,-0.9596491092068434,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1
0,0.512486259227765,-0.747850415293989,-0.19524770717404732,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,0
0,-1.2395040756535771,0.19617817640187488,-0.94045745447498,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1
0,-0.9950403079957154,1.1584890119510036,-0.6453692184426381,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1
0,-0.42462485012737144,0.8078023344020117,-0.14731268909089865,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,0
0,-0.9135523854430948,-1.1650179795821258,-0.8741690378436584,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
0,-0.18016108246950976,1.3296772953043026,0.33651554451135574,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,1
0,1.2051336009250397,-0.28747027462540753,0.5314762853391823,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
0,-0.791320501614164,-0.4935610235167579,-0.7481879571842651,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0
0,-0.6690886177852331,-1.5240147679735105,-0.8631834699626608,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,0
0,1.0421577558197987,1.181757322309704,1.4990665744239262,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,0
0,0.6754621043330061,1.2931128075977727,1.2145888969272465,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,1
0,-0.3023929662984406,1.3529456056630036,0.17768805707524432,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,0
0,1.4903413298592119,1.6105590417771916,2.475877681529266,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0
0,0.797693988161937,-1.4675060142452372,-0.5560508161330804,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,0
0,1.5718292524118322,1.3928341377064908,2.2495926306793175,True,False,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,0
0,-0.9135523854430948,-0.3190486958265014,-0.7742621363716935,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,1
0,-0.46536881140368175,0.8393807556031058,-0.18547540482207542,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,0
1,-1.2802480369298874,-0.8359375902233565,-0.9898704505662146,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,1
0,-0.8320644628904743,-1.495760391109374,-0.9181333687409043,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,0
0,-1.2802480369298874,-1.4841262359300234,-0.9984736061356706,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,1
0,1.0421577558197987,-0.16281861198951006,0.5390426503656527,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,0
0,0.6754621043330061,-0.17279074500038175,0.3030955940300073,True,True,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0
0,-0.09867315991688919,-0.3157246514895444,-0.33208199947490835,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
0,0.5939741817803856,1.1485168789401314,1.0879019163236925,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1
0,-1.2802480369298874,-1.150059780065818,-0.9940396721114126,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
0,1.6125732136881425,0.8460288442770204,1.802757966025724,True,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False,0
0,-0.6283446565089229,-0.0032644838155611237,-0.5251015154562937,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,1
1,1.5718292524118322,1.0487955488314133,1.9781299834030968,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,True,False,False,0
1,-1.2395040756535771,1.0205411719672768,-0.9272218305219706,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,0
0,-0.22090504374582004,0.044934159070319335,-0.18037968960016687,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,0
0,-1.2802480369298874,-1.4824642137615447,-0.9984515467624158,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,0
1,-1.2802480369298874,-0.6497911073537496,-0.9873998007616529,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
0,1.6125732136881425,1.1667991227933967,2.1919956071104716,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,0
0,-1.1172721918246462,0.1629377330323022,-0.8675512258671538,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1
0,0.5532302205040753,0.3324639942171226,0.5581019488579861,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,0
0,0.06430268518835193,1.3811999825271402,0.5585210769498313,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1
0,-0.8728084241667845,1.0986562138857725,-0.5196749096355598,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,1
0,-0.9135523854430948,-0.5068572008645872,-0.7974906564092247,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0
0,1.5310852911355222,0.14631751134751586,1.142256212024051,False,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,False,0
0,-0.6283446565089229,-1.4641819699082799,-0.8228368762792375,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,0
0,1.24587756220135,0.5003282332334644,1.1374472686544572,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,True,False,False,0
0,-0.791320501614164,0.3790006149345245,-0.5743600959347432,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,0
0,0.6754621043330061,0.6548962949019775,0.7162235363499369,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,0
0,-1.2395040756535771,-0.5168293338754589,-0.9645683494427119,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
0,-1.2395040756535771,0.526920587929123,-0.9437663604632323,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1
0,0.797693988161937,0.4970041888965074,0.8534769567426433,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False,0
0,1.4903413298592119,-0.021546727668825993,0.8694920617257846,False,True,True,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,0
1,0.4309983366751445,0.8460288442770204,0.6862448480963709,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,0
0,-0.7098325790615434,1.1402067680977384,-0.3780537333383605,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,1
1,-0.3023929662984406,0.15628964435838757,-0.23411632284938455,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,0
1,-0.9950403079957154,0.526920587929123,-0.727959511909416,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,1
1,1.1236456783724194,0.33412601638560113,0.9587222265423222,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,True,False,False,0
1,-0.5876006952326126,1.0188791497987983,-0.23416044159589464,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1
0,1.24587756220135,1.1584890119510036,1.7770587961836308,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,True,False,False,0
1,1.368109446030281,1.451004913603243,2.114633385105133,True,True,True,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,0
0,0.06430268518835193,-1.3245721077560746,-0.6128095835182352,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,0
0,1.6125732136881425,1.419426492402149,2.457590461100858,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False,False,0
0,0.5939741817803856,1.1867433888151402,1.0693499834162248,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,0
0,1.1236456783724194,0.8343946890976701,1.3974169824648146,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0
0,1.6125732136881425,-0.7544985039679034,0.2994337380696746,True,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0
0,-0.5876006952326126,-0.3456410505221597,-0.5851030107099358,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False,0
0,-0.9542963467194051,0.9839766842607471,-0.6291555791002016,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,1
0,-1.1987601143772668,0.3490842159019089,-0.8996696733264564,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False,0
0,0.5939741817803856,0.4687498120323708,0.6031251296714726,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,0
0,-0.05792919864057891,0.4787219450432425,0.09436980429105073,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0
0,0.7162060656093164,-1.4841262359300234,-0.5966621222955638,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,0
0,-0.9135523854430948,0.5003282332334644,-0.6158758364006823,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,0
0,-1.2802480369298874,-0.5234774225493735,-0.9857232883942716,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0
0,0.797693988161937,-1.4758161250876303,-0.5261824247457894,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,0
1,1.2866215234776603,1.5557123102173966,2.124626281189655,True,True,True,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,0
0,1.2051336009250397,-1.3478404181147754,-0.3788478707755411,True,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,0
0,-1.1987601143772668,-0.009912572489475751,-0.929096877248647,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,0
1,0.9606698332671781,1.5191478225108668,1.7013069084259078,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False,True,False,0
0,0.5532302205040753,-0.30409049631019386,0.17892338197752508,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,0
0,-0.9950403079957154,-0.3373309396797665,-0.7946008785128177,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
1,-0.09867315991688919,0.33080197204864403,-0.07588443849115852,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,0
0,0.512486259227765,-1.2929936865549807,-0.47061486351640547,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0
0,-1.2802480369298874,0.48370801154867815,-0.9723553082017324,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1
0,-0.8728084241667845,-0.47361675749501453,-0.757938200162982,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,0
0,-1.0357842692720256,0.3440981493964733,-0.7881374821490981,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,1
0,0.3902543753988342,1.2964368519347298,0.9018752216641471,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0
0,0.6754621043330061,-1.4841262359300234,-0.5779337144020558,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,0
0,-0.9542963467194051,1.1468548567716528,-0.6020225499965326,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,0
0,0.10504664646466222,-0.08802761440797156,-0.029934764000961456,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,0
0,0.6347181430566958,-1.4675060142452372,-0.5410283829464149,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,0
0,0.5532302205040753,-1.4907743246039378,-0.5983386346629451,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,0
0,-0.13941712119319946,-1.0320562061038352,-0.5620950844049546,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0
0,-0.09867315991688919,0.5734572086465244,0.1265764892433733,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
1,-1.2802480369298874,0.32913994988016554,-0.9744068299144488,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0
0,1.368109446030281,0.6382760732171912,1.5136919388920012,True,True,True,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,0
